"Period","Value"
"2002-10-31",2.82e+09
"2002-11-30",2.88e+09
"2002-12-31",3498400000
"2003-01-31",2848900000
"2003-02-28",2713400000
"2003-03-31",2941700000
"2003-04-30",2801500000
"2003-05-31",2913500000
"2003-06-30",2696800000
"2003-07-31",2957900000
"2003-08-31",2927800000
"2003-09-30",2871600000
"2003-10-31",3076300000
"2003-11-30",3166800000
"2003-12-31",3911900000
"2004-01-31",3166500000
"2004-02-29",3057100000
"2004-03-31",3330900000
"2004-04-30",3216200000
"2004-05-31",3210800000
"2004-06-30",3.087e+09
"2004-07-31",3325800000
"2004-08-31",3230100000
"2004-09-30",3221400000
"2004-10-31",3361600000
"2004-11-30",3518500000
"2004-12-31",4259400000
"2005-01-31",3390800000
"2005-02-28",3311700000
"2005-03-31",3622900000
"2005-04-30",3.493e+09
"2005-05-31",3437100000
"2005-06-30",3.373e+09
"2005-07-31",3.582e+09
"2005-08-31",3549100000
"2005-09-30",3532900000
"2005-10-31",3669500000
"2005-11-30",3822200000
"2005-12-31",4578100000
"2006-01-31",3669600000
"2006-02-28",3579800000
"2006-03-31",4017500000
"2006-04-30",3733600000
"2006-05-31",3873100000
"2006-06-30",3733800000
"2006-07-31",3878900000
"2006-08-31",3.904e+09
"2006-09-30",3830100000
"2006-10-31",3990100000
"2006-11-30",4205200000
"2006-12-31",5044400000
"2007-01-31",4059300000
"2007-02-28",3956400000
"2007-03-31",4407900000
"2007-04-30",4057800000
"2007-05-31",4204800000
"2007-06-30",4.05e+09
"2007-07-31",4187600000
"2007-08-31",4263900000
"2007-09-30",4146900000
"2007-10-31",4352400000
"2007-11-30",4620600000
"2007-12-31",5415400000
"2008-01-31",4409500000
"2008-02-29",4398800000
"2008-03-31",4561500000
"2008-04-30",4.355e+09
"2008-05-31",4523800000
"2008-06-30",4160400000
"2008-07-31",4.476e+09
"2008-08-31",4449900000
"2008-09-30",4372200000
"2008-10-31",4641200000
"2008-11-30",4619500000
"2008-12-31",5483400000
"2009-01-31",4479500000
"2009-02-28",4281700000
"2009-03-31",4632800000
"2009-04-30",4430900000
"2009-05-31",4537200000
"2009-06-30",4260800000
"2009-07-31",4590400000
"2009-08-31",4503100000
"2009-09-30",4453500000
"2009-10-31",4.697e+09
"2009-11-30",4742200000
"2009-12-31",5.737e+09
"2010-01-31",4646500000
"2010-02-28",4447500000
"2010-03-31",4931100000
"2010-04-30",4596400000
"2010-05-31",4654200000
"2010-06-30",4460600000
"2010-07-31",4760500000
"2010-08-31",4636500000
"2010-09-30",4676300000
"2010-10-31",4883700000
"2010-11-30",5078800000
"2010-12-31",6074100000
"2011-01-31",4884500000
"2011-02-28",4711700000
"2011-03-31",5207700000
"2011-04-30",4992200000
"2011-05-31",4978700000
"2011-06-30",4803700000
"2011-07-31",5070900000
"2011-08-31",4993700000
"2011-09-30",4969800000
"2011-10-31",5220300000
"2011-11-30",5375100000
"2011-12-31",6407900000
"2012-01-31",5155600000
"2012-02-29",5143500000
"2012-03-31",5503100000
"2012-04-30",5086200000
"2012-05-31",5316400000
"2012-06-30",5079700000
"2012-07-31",5187300000
"2012-08-31",5330400000
"2012-09-30",5.135e+09
"2012-10-31",5445100000
"2012-11-30",5692500000
"2012-12-31",6607400000
"2013-01-31",5479400000
"2013-02-28",5250300000
"2013-03-31",5686500000
"2013-04-30",5424600000
"2013-05-31",5621900000
"2013-06-30",5311400000
"2013-07-31",5607400000
"2013-08-31",5659700000
"2013-09-30",5.379e+09
"2013-10-31",5831100000
"2013-11-30",6.045e+09
"2013-12-31",7002800000
"2014-01-31",5830200000
"2014-02-28",5.556e+09
"2014-03-31",5.978e+09
"2014-04-30",5667800000
"2014-05-31",5987800000
"2014-06-30",5547800000
"2014-07-31",5857700000
"2014-08-31",5.818e+09
"2014-09-30",5645200000
"2014-10-31",6154300000
"2014-11-30",6221200000
"2014-12-31",7318500000
"2015-01-31",6083400000
"2015-02-28",5766400000
"2015-03-31",6252200000
"2015-04-30",5907200000
"2015-05-31",6167500000
"2015-06-30",5875900000
"2015-07-31",6257500000
"2015-08-31",6110400000
"2015-09-30",6006100000
"2015-10-31",6486600000
"2015-11-30",6542600000
"2015-12-31",7801100000
"2016-01-31",6395700000
"2016-02-29",6314600000
"2016-03-31",6623300000
"2016-04-30",6412900000
"2016-05-31",6411500000
"2016-06-30",6256900000
"2016-07-31",6536800000
"2016-08-31",6365800000
"2016-09-30",6.387e+09
"2016-10-31",6759100000
"2016-11-30",6924300000
"2016-12-31",8215900000
"2017-01-31",7.006e+09
"2017-02-28",6704100000
"2017-03-31",7353800000
"2017-04-30",6852200000
"2017-05-31",7103300000
"2017-06-30",6823800000
"2017-07-31",6973800000
"2017-08-31",7020900000
"2017-09-30",6.898e+09
"2017-10-31",7294300000
"2017-11-30",7688100000
"2017-12-31",8856300000
"2018-01-31",7382800000
"2018-02-28",7025500000
"2018-03-31",7765500000
"2018-04-30",7095900000
"2018-05-31",7433100000
"2018-06-30",7163600000
"2018-07-31",7317900000
"2018-08-31",7470300000
"2018-09-30",7265300000
"2018-10-31",7775100000
"2018-11-30",8023500000
"2018-12-31",9004800000
"2019-01-31",7707200000
"2019-02-28",7287100000
"2019-03-31",7.902e+09
"2019-04-30",7455400000
"2019-05-31",7721900000
"2019-06-30",7272900000
"2019-07-31",7548300000
"2019-08-31",7711800000
"2019-09-30",7416100000
"2019-10-31",7989700000
"2019-11-30",8351700000
"2019-12-31",9299100000
"2020-01-31",7997300000
"2020-02-29",7831600000
"2020-03-31",7372900000
"2020-04-30",3631600000
"2020-05-31",6704900000
"2020-06-30",7578100000
"2020-07-31",8022200000
"2020-08-31",7300400000
"2020-09-30",7653700000
"2020-10-31",8.278e+09
"2020-11-30",8286900000
"2020-12-31",9468200000
"2021-01-31",7845100000
"2021-02-28",7199900000
"2021-03-31",7947100000
"2021-04-30",7882300000
"2021-05-31",8192800000
"2021-06-30",7987600000
"2021-07-31",8499700000
"2021-08-31",6433400000
"2021-09-30",6475200000
"2021-10-31",7520200000
"2021-11-30",8385100000
"2021-12-31",9791800000
"2022-01-31",8184200000
"2022-02-28",7265200000
"2022-03-31",8019300000
"2022-04-30",8109200000
"2022-05-31",8449900000
"2022-06-30",8221200000
